OBJECTID;ID_LOCAL;X;Y;Xbis;Ybis;C20_NIV8;F7;ARRO;QUA;IRIS;NUM;LET;TYP_VOIE;LIB_VOIE;C20_SIT;C20_CODACT;C20_LIBACT;C20_SURF;C20_CC_ID;C20_NOM_CC;CODE_PROTECTION;TYPE_PROTECTION;CODE_ZTI;NOM_ZTI
1558;25536;650902.4945;6865105.7083;650891.189810995;6865109.73372004;2;null;9;33;751093306;75;B;BD;CLICHY;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
1557;25531;650784.6295;6865062.1619;650780.991393904;6865063.82448354;2;null;9;33;751093306;67;null;RUE;DOUAI;R;CA302;Supérette  classique;1;0;null;0;null;0;null
1556;25530;650793.2448;6865058.1305;650789.606693904;6865059.79308354;2;null;9;33;751093306;65;null;RUE;DOUAI;R;CA102;Traiteur asiatique;1;0;null;0;null;0;null
1559;25550;650948.8341;6865088.7829;650945.062370195;6865090.11483629;2;null;9;33;751093306;73;null;BD;CLICHY;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
1594;26017;651155.7506;6864883.1438;651162.657765265;6864879.10758048;2;null;9;33;751093308;22;null;RUE;DOUAI;R;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
1595;26019;651155.7506;6864883.1438;651155.7506;6864883.1438;2;null;9;33;751093308;22;null;RUE;DOUAI;R;CA112;Crèmerie - Fromagerie;1;0;null;0;null;0;null
1593;26009;651188.3182;6864985.26;651188.3182;6864985.26;2;null;9;33;751093308;43;null;BD;CLICHY;R;CA202;Supermarché classique;2;0;null;1;PCA;0;null
1645;26517;651274.9087;6864945.2911;651271.263949319;6864946.93906616;2;null;9;33;751093308;33;null;BD;CLICHY;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
1604;26118;651245.689;6864693.4469;651245.689;6864693.4469;2;null;9;33;751093307;64;null;RUE;NOTRE DAME DE LORETTE;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
1601;26082;651234.2958;6864713.9227;651234.2958;6864713.9227;2;null;9;33;751093307;2;null;RUE;PIERRE FONTAINE;A;CA111;Commerce détail de boissons;1;0;null;1;PCA;0;null
7092;84011;651182.3666;6864851.065;651178.914427417;6864853.08552084;2;null;9;33;751093307;21;null;RUE;DOUAI;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;0;null;0;null
1603;26101;651175.6214;6864828.4255;651175.6214;6864828.4255;2;null;9;33;751093307;20;null;RUE;PIERRE FONTAINE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
1600;26076;651249.5212;6864811.0304;651246.067969991;6864813.04911308;2;null;9;33;751093307;11;null;RUE;DOUAI;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;0;null;0;null
1602;26097;651186.8142;6864806.5803;651186.8142;6864806.5803;2;null;9;33;751093307;16;B;RUE;PIERRE FONTAINE;R;CA302;Supérette  classique;1;0;null;1;PCA;0;null
1609;26195;651334.1649;6864794.09;651331.475949297;6864791.12865839;2;null;9;33;751093309;58;null;RUE;JEAN BAPTISTE PIGALLE;R;CA202;Supermarché classique;2;0;null;0;null;0;null
1587;25893;651187.8116;6864719.9144;651187.8116;6864719.9144;2;null;9;33;751093307;2;null;RUE;CHAPTAL;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
1579;25790;651199.9733;6864580.3754;651207.597980708;6864577.95377986;2;null;9;33;751093307;26;null;RUE;LA BRUYERE;R;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
1640;26405;651300.8299;6864601.772;651298.338202759;6864604.90112845;2;null;9;33;751093309;45;null;RUE;NOTRE DAME DE LORETTE;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;1;PCA;0;null
1641;26413;651260.6539;6864653.0339;651260.6539;6864653.0339;2;null;9;33;751093309;55;null;RUE;NOTRE DAME DE LORETTE;A;CA108;Vente de fruits et légumes;1;0;null;1;PCA;0;null
1581;25812;651202.1368;6864655.1116;651202.1368;6864655.1116;2;null;9;33;751093307;42;null;RUE;JEAN BAPTISTE PIGALLE;R;CA112;Crèmerie - Fromagerie;1;0;null;0;null;0;null
1607;26171;651266.5146;6864669.6638;651269.008481632;6864666.53641221;2;null;9;33;751093309;62;null;RUE;NOTRE DAME DE LORETTE;A;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
1582;25818;651226.5494;6864680.4066;651226.5494;6864680.4066;2;null;9;33;751093307;48;null;RUE;JEAN BAPTISTE PIGALLE;R;CA109;Boucherie - Boucherie-Charcuterie;1;0;null;0;null;0;null
1580;25805;651241.9022;6864675.8376;651239.123064642;6864678.71447446;2;null;9;33;751093307;57;null;RUE;NOTRE DAME DE LORETTE;R;CA102;Traiteur asiatique;1;0;null;1;PCA;0;null
1585;25876;651214.2759;6864684.8898;651214.2759;6864684.8898;2;null;9;33;751093307;49;null;RUE;JEAN BAPTISTE PIGALLE;R;CA108;Vente de fruits et légumes;1;0;null;0;null;0;null
1589;25966;651027.0303;6864946.4308;651023.613190539;6864948.51006981;2;null;9;33;751093307;35;null;RUE;DOUAI;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
1597;26030;651108.4893;6864959.3045;651108.4893;6864959.3045;2;null;9;33;751093308;38;B;RUE;PIERRE FONTAINE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
1562;25598;650954.2758;6864982.9463;650954.2758;6864982.9463;2;null;9;33;751093306;45;null;RUE;DOUAI;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
7572;96702;651117.1891;6865017.9959;651117.1891;6865017.9959;2;null;9;33;751093308;53;null;BD;CLICHY;R;CA105;Chocolaterie - Confiserie;1;0;null;1;PCA;0;null
1598;26033;651095.7539;6864984.1767;651095.7539;6864984.1767;2;null;9;33;751093308;44;null;RUE;PIERRE FONTAINE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
1591;25976;651039.1052;6865010.8559;651039.1052;6865010.8559;2;null;9;33;751093308;102;null;RUE;BLANCHE;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
1590;25974;651036.4846;6865001.9758;651036.4846;6865001.9758;2;null;9;33;751093308;100;null;RUE;BLANCHE;R;CA102;Traiteur asiatique;1;0;null;0;null;0;null
1599;26034;651078.7641;6865035.6839;651078.7641;6865035.6839;2;null;9;33;751093308;59;null;BD;CLICHY;A;CA201;Monoprix;3;0;null;1;PCA;0;null
1566;25633;650960.0235;6864691.8259;650960.0235;6864691.8259;2;null;9;33;751093304;41;null;RUE;BLANCHE;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
1567;25637;650969.4268;6864765.0074;650969.943366862;6864768.97390459;2;null;9;33;751093304;51;null;RUE;BLANCHE;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;0;null;0;null
1588;25902;650993.5937;6864787.3565;650997.383211782;6864786.07603116;2;null;9;33;751093307;34;null;RUE;CHAPTAL;A;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
1568;25641;650972.2797;6864785.5945;650973.821092591;6864797.4950928;2;null;9;33;751093304;53;null;RUE;BLANCHE;R;CA109;Boucherie - Boucherie-Charcuterie;1;0;null;0;null;0;null
1586;25889;650988.1082;6864812.9158;650987.586095231;6864808.95002055;2;null;9;33;751093307;70;null;RUE;BLANCHE;R;CA112;Crèmerie - Fromagerie;1;0;null;0;null;0;null
1563;25614;650978.6565;6864832.0303;650978.6565;6864832.0303;2;null;9;33;751093306;57;null;RUE;BLANCHE;A;CA302;Supérette  classique;1;0;null;0;null;0;null
1596;26024;651130.2281;6864916.8425;651130.2281;6864916.8425;2;null;9;33;751093308;30;null;RUE;PIERRE FONTAINE;R;CA105;Chocolaterie - Confiserie;1;0;null;1;PCA;0;null
1592;25992;651112.982;6864919.9435;651107.405749448;6864930.56919667;2;null;9;33;751093308;27;null;RUE;PIERRE FONTAINE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
1574;25737;651031.616;6864320.4429;651031.616;6864320.4429;2;null;9;33;751093303;4;null;PL;ESTIENNE D ORVES;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
1576;25740;651028.2019;6864333.0616;651029.277579693;6864329.20894985;2;null;9;33;751093303;6;null;PL;ESTIENNE D ORVES;R;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
1584;25828;651016.7723;6864444.639;651018.974805752;6864447.9780071;2;null;9;33;751093303;5;null;RUE;JEAN BAPTISTE PIGALLE;R;CA105;Chocolaterie - Confiserie;1;0;null;0;null;0;null
1583;25827;651016.7723;6864444.639;651016.7723;6864444.639;2;null;9;33;751093303;5;null;RUE;JEAN BAPTISTE PIGALLE;R;CA102;Traiteur asiatique;1;0;null;0;null;0;null
1573;25734;651015.0509;6864381.6822;651015.0509;6864381.6822;2;null;9;33;751093303;12;null;RUE;BLANCHE;R;CA202;Supermarché classique;2;0;null;0;null;0;null
1577;25774;651043.1519;6864462.4354;651043.1519;6864462.4354;2;null;9;33;751093303;8;null;RUE;JEAN BAPTISTE PIGALLE;R;CA302;Supérette  classique;1;0;null;0;null;0;null
1578;25785;651137.4579;6864581.7067;651137.4579;6864581.7067;2;null;9;33;751093303;28;null;RUE;JEAN BAPTISTE PIGALLE;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
7088;83804;650989.4543;6864655.0685;650993.23019577;6864653.74842003;2;null;9;33;751093303;56;null;RUE;LA BRUYERE;R;CA104;Pâtisserie;1;0;null;0;null;0;null
1554;25457;650730.968;6864839.0928;650729.792506231;6864842.91617735;2;null;9;33;751093305;65;null;RUE;CLICHY;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
1552;25443;650658.7723;6864858.7723;650658.7723;6864858.7723;2;null;9;33;751093305;86;null;RUE;AMSTERDAM;R;CA302;Supérette  classique;1;0;null;0;null;0;null
