OBJECTID;ID_LOCAL;X;Y;Xbis;Ybis;C20_NIV8;F7;ARRO;QUA;IRIS;NUM;LET;TYP_VOIE;LIB_VOIE;C20_SIT;C20_CODACT;C20_LIBACT;C20_SURF;C20_CC_ID;C20_NOM_CC;CODE_PROTECTION;TYPE_PROTECTION;CODE_ZTI;NOM_ZTI
326;7492;653354.2099;6862679.5976;653354.2099;6862679.5976;2;null;3;10;751031004;38;null;RUE;DEBELLEYME;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
328;7512;653305.7997;6862693.922;653305.7997;6862693.922;2;null;3;10;751031004;34;null;RUE;SAINTONGE;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
350;7982;653399.1912;6862802.3356;653399.1912;6862802.3356;2;null;3;10;751031002;120;null;RUE;TURENNE;R;CA102;Traiteur asiatique;1;0;null;0;null;2;Le Marais
334;7593;653301.1854;6862819.4196;653301.1854;6862819.4196;2;null;3;10;751031004;61;null;RUE;CHARLOT;R;CA104;Pâtisserie;1;0;null;0;null;0;null
345;7905;653401.4246;6862857.5382;653401.4246;6862857.5382;2;null;3;10;751031002;126;null;RUE;TURENNE;R;CA111;Commerce détail de boissons;1;0;null;0;null;2;Le Marais
333;7589;653386.2631;6862907.1525;653386.2631;6862907.1525;2;null;3;10;751031004;133;null;RUE;TURENNE;A;CA105;Chocolaterie - Confiserie;1;0;null;0;null;2;Le Marais
7282;88107;653458.4071;6862911.8209;653456.89056737;6862915.5222685;2;null;3;10;751031002;21;null;BD;TEMPLE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;2;Le Marais
346;7912;653403.8833;6862924.4209;653403.770218074;6862920.42249876;2;null;3;10;751031002;134;null;RUE;TURENNE;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;2;Le Marais
7064;83013;653412.9191;6862580.7783;653412.9191;6862580.7783;2;null;3;10;751031002;2;B;RUE;COMMINES;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;2;Le Marais
351;8077;653391.5528;6862560.0424;653391.5528;6862560.0424;2;null;3;10;751031002;88;null;RUE;TURENNE;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;2;Le Marais
325;7482;653375.7444;6862599.6801;653375.7444;6862599.6801;2;null;3;10;751031003;103;null;RUE;TURENNE;A;CA302;Supérette  classique;1;0;null;0;null;2;Le Marais
7631;97563;653345.6185;6862653.8732;653345.6185;6862653.8732;2;null;3;10;751031004;6;null;RUE;BRETAGNE;R;CA105;Chocolaterie - Confiserie;1;0;null;3;PCA - PPA;0;null
324;7457;653336.8219;6862633.5815;653336.8219;6862633.5815;2;null;3;10;751031003;3;null;RUE;BRETAGNE;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;3;PCA - PPA;0;null
322;7434;653296.7226;6862664.5488;653296.7226;6862664.5488;2;null;3;10;751031003;17;null;RUE;BRETAGNE;R;CA109;Boucherie - Boucherie-Charcuterie;1;0;null;3;PCA - PPA;0;null
323;7435;653290.6495;6862668.9299;653290.6495;6862668.9299;2;null;3;10;751031003;19;null;RUE;BRETAGNE;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;3;PCA - PPA;0;null
327;7500;653328.2278;6862674.3364;653331.370363867;6862676.81113076;2;null;3;10;751031004;29;null;RUE;DEBELLEYME;R;CA104;Pâtisserie;1;0;null;0;null;0;null
335;7626;653227.8363;6862745.7789;653230.996920572;6862743.32727246;2;null;3;10;751031004;38;null;RUE;BRETAGNE;R;CA104;Pâtisserie;1;0;null;0;null;0;null
338;7630;653244.3087;6862746.5462;653244.3087;6862746.5462;2;null;3;10;751031004;41;null;RUE;CHARLOT;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;0;null;0;null
337;7628;653214.482;6862756.3173;653214.482;6862756.3173;2;null;3;10;751031004;40;null;RUE;BRETAGNE;R;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
344;7871;653278.119;6862973.1825;653278.119;6862973.1825;2;null;3;10;751031001;10;null;RUE;CORDERIE;R;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
341;7770;653274.8211;6862991.2601;653274.8211;6862991.2601;2;null;3;10;751031001;3;null;RUE;CHARLES FRANCOIS DUPUIS;A;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;0;null;0;null
339;7693;653274.0559;6862887.2174;653278.950325647;6862893.54548009;2;null;3;10;751031004;27;null;RUE;PICARDIE;A;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
340;7729;653285.5849;6863156.1163;653285.5849;6863156.1163;2;null;3;10;751031001;23;null;RUE;BERANGER;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
343;7798;653264.6567;6863179.7454;653261.231992344;6863177.67866889;2;null;3;10;751031001;180;null;RUE;TEMPLE;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
332;7544;653259.4456;6862720.983;653272.164708621;6862711.27608103;2;null;3;10;751031004;14;null;RUE;BRETAGNE;R;CA104;Pâtisserie;1;0;null;0;null;0;null
331;7542;653259.4456;6862720.983;653268.984931466;6862713.70281077;2;null;3;10;751031004;14;null;RUE;BRETAGNE;R;CA106;Torréfacteur -  Commerce détail  thé et café;1;0;null;0;null;0;null
7517;95625;653219.8036;6862715.4869;653219.8036;6862715.4869;2;null;3;10;751031003;37;null;RUE;CHARLOT;R;CA111;Commerce détail de boissons;1;0;null;0;null;2;Le Marais
330;7539;653259.4456;6862720.983;653259.4456;6862720.983;2;null;3;10;751031004;14;null;RUE;BRETAGNE;R;CA105;Chocolaterie - Confiserie;1;0;null;0;null;0;null
7053;82943;653205.178;6862735.8638;653205.178;6862735.8638;2;null;3;10;751031003;39;null;RUE;BRETAGNE;CC;CA108;Vente de fruits et légumes;1;19;MARCHE COUVERT ENFANTS ROUGES;0;null;0;null
320;7399;653205.178;6862735.8638;653205.178;6862735.8638;2;null;3;10;751031003;39;null;RUE;BRETAGNE;R;CA112;Crèmerie - Fromagerie;1;0;null;0;null;0;null
7644;97809;653205.178;6862735.8638;653205.178;6862735.8638;2;null;3;10;751031003;39;null;RUE;BRETAGNE;CC;CA108;Vente de fruits et légumes;1;19;MARCHE COUVERT ENFANTS ROUGES;0;null;0;null
336;7627;653227.8363;6862745.7789;653234.157541144;6862740.87564492;2;null;3;10;751031004;38;null;RUE;BRETAGNE;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;0;null;0;null
314;7388;653277.4126;6862679.5062;653277.4126;6862679.5062;2;null;3;10;751031003;21;null;RUE;BRETAGNE;A;CA111;Commerce détail de boissons;1;0;null;0;null;2;Le Marais
315;7389;653273.5441;6862682.5347;653273.5441;6862682.5347;2;null;3;10;751031003;23;null;RUE;BRETAGNE;R;CA302;Supérette  classique;1;0;null;0;null;0;null
316;7391;653266.0017;6862688.4282;653262.829137005;6862690.86435353;2;null;3;10;751031003;25;null;RUE;BRETAGNE;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
317;7393;653256.2777;6862696.029;653256.2777;6862696.029;2;null;3;10;751031003;29;null;RUE;BRETAGNE;R;CA108;Vente de fruits et légumes;1;0;null;0;null;0;null
329;7538;653286.7591;6862699.7833;653289.94099444;6862697.35934708;2;null;3;10;751031004;12;null;RUE;BRETAGNE;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;0;null;0;null
321;7417;653224.924;6862706.2729;653224.924;6862706.2729;2;null;3;10;751031003;42;null;RUE;CHARLOT;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;0;null;2;Le Marais
318;7394;653251.1911;6862700.0028;653251.1911;6862700.0028;2;null;3;10;751031003;31;null;RUE;BRETAGNE;R;CA109;Boucherie - Boucherie-Charcuterie;1;0;null;0;null;0;null
319;7397;653245.0019;6862704.8438;653241.831464288;6862707.28272136;2;null;3;10;751031003;33;null;RUE;BRETAGNE;R;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
310;7335;653092.673;6862841.0079;653089.927186917;6862843.91659567;2;null;3;10;751031003;57;null;RUE;BRETAGNE;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;0;null;0;null
311;7339;653073.6693;6862861.4827;653073.6693;6862861.4827;2;null;3;10;751031003;61;null;RUE;BRETAGNE;R;CA104;Pâtisserie;1;0;null;0;null;0;null
