OBJECTID;ID_LOCAL;X;Y;Xbis;Ybis;C20_NIV8;F7;ARRO;QUA;IRIS;NUM;LET;TYP_VOIE;LIB_VOIE;C20_SIT;C20_CODACT;C20_LIBACT;C20_SURF;C20_CC_ID;C20_NOM_CC;CODE_PROTECTION;TYPE_PROTECTION;CODE_ZTI;NOM_ZTI
1950;31195;653288.7192;6864584.9269;653288.7192;6864584.9269;2;null;10;37;751103702;191;null;RUE;FAUBOURG SAINT MARTIN;R;CA102;Traiteur asiatique;1;0;null;3;PCA - PPA;0;null
2188;34094;653328.0736;6864593.9606;653328.0736;6864593.9606;2;null;10;40;751104009;210;null;RUE;FAUBOURG SAINT MARTIN;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;3;PCA - PPA;0;null
1951;31199;653301.9859;6864601.0403;653301.9859;6864601.0403;2;null;10;37;751103702;195;null;RUE;FAUBOURG SAINT MARTIN;R;CA111;Commerce détail de boissons;1;0;null;3;PCA - PPA;0;null
1952;31200;653301.9859;6864601.0403;653304.503181564;6864604.14888385;2;null;10;37;751103702;195;null;RUE;FAUBOURG SAINT MARTIN;R;CA302;Supérette  classique;1;0;null;3;PCA - PPA;0;null
1947;31183;653239.4307;6864652.2073;653239.459323411;6864648.20740241;2;null;10;37;751103702;10;null;RUE;CHATEAU LANDON;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
1964;31238;653329.5355;6864734.4491;653325.823374182;6864732.95909265;2;null;10;37;751103702;192;null;RUE;LA FAYETTE;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
1953;31206;653331.3067;6864636.6446;653331.3067;6864636.6446;2;null;10;37;751103702;203;null;RUE;FAUBOURG SAINT MARTIN;R;CA111;Commerce détail de boissons;1;0;null;3;PCA - PPA;0;null
7312;89067;653222.5335;6863864.3605;653222.5335;6863864.3605;2;null;10;39;751103908;33;null;RUE;VINAIGRIERS;R;CA302;Supérette  classique;1;0;null;0;null;0;null
2184;34028;653275.7466;6864528.9898;653270.801528468;6864522.70121768;2;null;10;40;751104008;196;null;RUE;FAUBOURG SAINT MARTIN;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;3;PCA - PPA;0;null
2182;34009;653308.0126;6864511.6021;653308.0126;6864511.6021;2;null;10;40;751104008;25;null;RUE;EUGENE VARLIN;R;CA102;Traiteur asiatique;1;0;null;0;null;0;null
2183;34026;653275.7466;6864528.9898;653275.7466;6864528.9898;2;null;10;40;751104008;196;null;RUE;FAUBOURG SAINT MARTIN;R;CA301;Alimentation générale  <120m²;1;0;null;3;PCA - PPA;0;null
7099;84346;653217.7065;6863876.3672;653221.706070135;6863876.30855929;2;null;10;39;751103910;34;null;RUE;VINAIGRIERS;R;CA104;Pâtisserie;1;0;null;0;null;0;null
7399;91280;653324.6671;6863977.4366;653324.6671;6863977.4366;2;null;10;40;751104007;108;null;QU;JEMMAPES;R;CA302;Supérette  classique;1;0;null;0;null;0;null
1948;31192;653273.2116;6864566.0884;653273.2116;6864566.0884;2;null;10;37;751103702;189;null;RUE;FAUBOURG SAINT MARTIN;R;CA302;Supérette  classique;1;0;null;3;PCA - PPA;0;null
2187;34090;653309.8493;6864570.8829;653309.8493;6864570.8829;2;null;10;40;751104009;204;null;RUE;FAUBOURG SAINT MARTIN;R;CA112;Crèmerie - Fromagerie;1;0;null;3;PCA - PPA;0;null
1949;31194;653273.2116;6864566.0884;653278.245078134;6864572.30644615;2;null;10;37;751103702;189;null;RUE;FAUBOURG SAINT MARTIN;R;CA301;Alimentation générale  <120m²;1;0;null;3;PCA - PPA;0;null
2139;33516;653221.4042;6863694.2063;653221.4042;6863694.2063;2;null;10;39;751103908;42;null;RUE;LANCRY;A;CA108;Vente de fruits et légumes;1;0;null;3;PCA - PPA;0;null
7134;85087;653270.5815;6863863.266;653270.5815;6863863.266;2;null;10;39;751103908;25;null;RUE;VINAIGRIERS;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;0;null;0;null
2140;33519;653230.7026;6863707.209;653228.403150412;6863703.9359996;2;null;10;39;751103908;44;null;RUE;LANCRY;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;3;PCA - PPA;0;null
2165;33839;653227.7187;6863723.3881;653227.7187;6863723.3881;2;null;10;39;751103908;55;null;RUE;LANCRY;R;CA111;Commerce détail de boissons;1;0;null;3;PCA - PPA;0;null
2166;33841;653236.0992;6863735.2125;653236.0992;6863735.2125;2;null;10;39;751103908;57;null;RUE;LANCRY;R;CA105;Chocolaterie - Confiserie;1;0;null;3;PCA - PPA;0;null
7136;85091;653313.8694;6863833.5146;653316.653552521;6863836.38661928;2;null;10;39;751103908;67;null;RUE;LANCRY;R;CA111;Commerce détail de boissons;1;0;null;3;PCA - PPA;0;null
2138;33512;653306.488;6863807.2067;653304.066268675;6863804.02311438;2;null;10;39;751103908;58;null;RUE;LANCRY;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;3;PCA - PPA;0;null
2144;33575;653267.6836;6863651.1978;653269.511992466;6863647.6401349;2;null;10;39;751103902;34;null;RUE;YVES TOUDIC;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
2141;33537;653263.4248;6863676.7926;653263.4248;6863676.7926;2;null;10;39;751103908;3;null;RUE;MARSEILLE;R;CA302;Supérette  classique;1;0;null;0;null;0;null
1918;30910;653171.891;6864934.8078;653171.891;6864934.8078;2;null;10;37;751103708;2;null;RUE;CAIL;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
7104;84441;653093.0905;6864944.6203;653097.063749755;6864944.15847061;2;null;10;37;751103708;16;null;RUE;CAIL;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
1919;30924;653115.7591;6865009.81;653112.665951526;6865012.34622407;2;null;10;37;751103708;61;null;RUE;LOUIS BLANC;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;1;PCA;0;null
7294;88549;653123.5071;6864940.8372;653123.5071;6864940.8372;2;null;10;37;751103708;10;null;RUE;CAIL;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;0;null;0;null
