OBJECTID;ID_LOCAL;X;Y;Xbis;Ybis;C20_NIV8;F7;ARRO;QUA;IRIS;NUM;LET;TYP_VOIE;LIB_VOIE;C20_SIT;C20_CODACT;C20_LIBACT;C20_SURF;C20_CC_ID;C20_NOM_CC;CODE_PROTECTION;TYPE_PROTECTION;CODE_ZTI;NOM_ZTI
7193;86637;649764.0612;6864997.2697;649767.382416863;6864999.4989417;2;null;17;67;751176709;24;null;RUE;LEBOUTEUX;R;CA108;Vente de fruits et légumes;1;0;null;0;null;0;null
5137;65750;649709.4453;6865019.3181;649707.030798091;6865022.50717205;2;null;17;66;751176601;49;null;RUE;LEVIS;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;3;PCA - PPA;0;null
5139;65752;649704.6591;6865025.7473;649704.6591;6865025.7473;2;null;17;66;751176601;51;null;RUE;LEVIS;R;CA111;Commerce détail de boissons;1;0;null;3;PCA - PPA;0;null
5191;66191;649711.7751;6865036.3447;649716.611894254;6865029.97246167;2;null;17;67;751176709;44;null;RUE;LEVIS;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;3;PCA - PPA;0;null
5194;66203;649704.6183;6865127.0396;649710.596975259;6865132.35518484;2;null;17;67;751176710;25;null;RUE;LEGENDRE;A;CA111;Commerce détail de boissons;1;0;null;1;PCA;0;null
7367;90301;649702.9077;6865048.2422;649705.327764987;6865045.0573475;2;null;17;67;751176709;46;null;RUE;LEVIS;R;CA110;Poissonnerie;1;0;null;3;PCA - PPA;0;null
7352;90013;649960.0343;6865107.0752;649960.0343;6865107.0752;2;null;17;67;751176708;20;null;RUE;DULONG;R;CA104;Pâtisserie;1;0;null;0;null;0;null
5134;65743;649731.9123;6864989.1084;649731.9123;6864989.1084;2;null;17;66;751176601;41;null;RUE;LEVIS;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;3;PCA - PPA;0;null
5189;66181;649746.5557;6864989.7265;649746.5557;6864989.7265;2;null;17;67;751176709;34;null;RUE;LEVIS;A;CA108;Vente de fruits et légumes;1;0;null;3;PCA - PPA;0;null
7424;91878;649974.5089;6864988.7017;649978.219723998;6864990.19494655;2;null;17;67;751176708;92;null;RUE;DAMES;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;1;PCA;0;null
5184;66121;649942.9263;6864991.4107;649942.9263;6864991.4107;2;null;17;67;751176709;1;null;RUE;SAUSSURE;A;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
5135;65744;649731.9123;6864989.1084;649729.498354406;6864992.29789317;2;null;17;66;751176601;41;null;RUE;LEVIS;R;CA108;Vente de fruits et légumes;1;0;null;3;PCA - PPA;0;null
5190;66184;649739.7154;6864998.888;649742.134352005;6864995.70230209;2;null;17;67;751176709;36;null;RUE;LEVIS;R;CA106;Torréfacteur -  Commerce détail  thé et café;1;0;null;3;PCA - PPA;0;null
5136;65746;649725.2177;6864998.1066;649725.2177;6864998.1066;2;null;17;66;751176601;43;null;RUE;LEVIS;R;CA112;Crèmerie - Fromagerie;1;0;null;3;PCA - PPA;0;null
5143;65763;649731.3147;6864946.444;649731.3147;6864946.444;2;null;17;66;751176601;21;null;RUE;TERRASSE;R;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
5179;66089;649923.8596;6864968.8236;649923.8596;6864968.8236;2;null;17;67;751176709;100;null;RUE;DAMES;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
5171;65926;649953.9361;6864970.0322;649950.225275952;6864968.53895358;2;null;17;67;751176707;109;null;RUE;DAMES;R;CA111;Commerce détail de boissons;1;0;null;1;PCA;0;null
