OBJECTID;ID_LOCAL;X;Y;Xbis;Ybis;C20_NIV8;F7;ARRO;QUA;IRIS;NUM;LET;TYP_VOIE;LIB_VOIE;C20_SIT;C20_CODACT;C20_LIBACT;C20_SURF;C20_CC_ID;C20_NOM_CC;CODE_PROTECTION;TYPE_PROTECTION;CODE_ZTI;NOM_ZTI
3518;48885;651047.3375;6860274.5682;651043.759945977;6860276.35736383;2;null;14;53;751145309;144;null;BD;MONTPARNASSE;R;CA111;Commerce détail de boissons;1;0;null;1;PCA;0;null
3513;48832;651137.5905;6860228.6343;651134.00765277;6860230.41284034;2;null;14;53;751145309;152;null;BD;MONTPARNASSE;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
3516;48857;651063.1485;6860238.2845;651065.978407638;6860241.11144584;2;null;14;53;751145309;4;null;RUE;CAMPAGNE PREMIERE;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;1;PCA;0;null
3512;48820;651061.6107;6860216.9791;651061.6107;6860216.9791;2;null;14;53;751145309;5;null;RUE;CAMPAGNE PREMIERE;R;CA108;Vente de fruits et légumes;1;0;null;1;PCA;0;null
3535;48987;650723.6101;6860408.9025;650727.527132761;6860409.71296551;2;null;14;53;751145307;8;null;RUE;DELAMBRE;R;CA112;Crèmerie - Fromagerie;1;0;null;1;PCA;0;null
3534;48986;650741.5073;6860412.4371;650741.5073;6860412.4371;2;null;14;53;751145307;4;null;RUE;DELAMBRE;R;CA110;Poissonnerie;1;0;null;1;PCA;0;null
3537;49013;650563.2476;6860522.546;650559.674428395;6860524.34390008;2;null;14;53;751145307;84;null;BD;MONTPARNASSE;R;CA302;Supérette  classique;1;0;null;1;PCA;0;null
3520;48901;650842.7875;6860379.1524;650839.21182148;6860380.94530912;2;null;14;53;751145309;114;null;BD;MONTPARNASSE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
3527;48945;650685.604;6860386.1384;650685.604;6860386.1384;2;null;14;53;751145308;11;B;RUE;DELAMBRE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
3526;48944;650699.5018;6860388.8926;650699.5018;6860388.8926;2;null;14;53;751145308;11;null;RUE;DELAMBRE;R;CA202;Supermarché classique;2;0;null;1;PCA;0;null
3525;48941;650738.105;6860396.5442;650730.270934559;6860394.92326858;2;null;14;53;751145308;5;null;RUE;DELAMBRE;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;1;PCA;0;null
3524;48940;650738.105;6860396.5442;650734.187967279;6860395.73373429;2;null;14;53;751145308;5;null;RUE;DELAMBRE;R;CA109;Boucherie - Boucherie-Charcuterie;1;0;null;1;PCA;0;null
3536;48988;650723.6101;6860408.9025;650723.6101;6860408.9025;2;null;14;53;751145307;8;null;RUE;DELAMBRE;R;CA111;Commerce détail de boissons;1;0;null;1;PCA;0;null
3523;48939;650738.105;6860396.5442;650738.105;6860396.5442;2;null;14;53;751145308;5;null;RUE;DELAMBRE;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
3522;48938;650769.9813;6860402.8633;650766.064125748;6860402.05351862;2;null;14;53;751145308;1;null;RUE;DELAMBRE;R;CA108;Vente de fruits et légumes;1;0;null;1;PCA;0;null
3514;48842;650993.9657;6860150.6505;650993.9657;6860150.6505;2;null;14;53;751145310;19;null;RUE;CAMPAGNE PREMIERE;R;CA202;Supermarché classique;2;0;null;0;null;0;null
3519;48889;650854.1641;6860268.5662;650854.1641;6860268.5662;2;null;14;53;751145309;215;null;BD;RASPAIL;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
3517;48875;650958.7077;6860319.8404;650955.130770398;6860321.63081186;2;null;14;53;751145309;130;null;BD;MONTPARNASSE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
3521;48906;650878.1545;6860361.0359;650878.1545;6860361.0359;2;null;14;53;751145309;120;null;BD;MONTPARNASSE;R;CA111;Commerce détail de boissons;1;0;null;1;PCA;0;null
3532;48964;650578.6542;6860364.8712;650578.6542;6860364.8712;2;null;14;53;751145308;29;null;RUE;DELAMBRE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
3531;48963;650595.3015;6860368.1713;650591.384750484;6860367.35946675;2;null;14;53;751145308;27;null;RUE;DELAMBRE;R;CA105;Chocolaterie - Confiserie;1;0;null;1;PCA;0;null
3530;48962;650595.3015;6860368.1713;650595.3015;6860368.1713;2;null;14;53;751145308;27;null;RUE;DELAMBRE;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
3529;48961;650608.7335;6860370.8285;650608.7335;6860370.8285;2;null;14;53;751145308;25;null;RUE;DELAMBRE;R;CA108;Vente de fruits et légumes;1;0;null;1;PCA;0;null
3528;48953;650638.2684;6860376.7452;650630.435184316;6860375.12016706;2;null;14;53;751145308;19;null;RUE;DELAMBRE;A;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;1;PCA;0;null
3582;49540;650356.9882;6860407.5912;650356.9882;6860407.5912;2;null;14;53;751145306;70;null;BD;EDGAR QUINET;R;CA107;Vente de produits surgelés;1;0;null;1;PCA;0;null
3542;49115;650441.6025;6860417.0555;650441.6025;6860417.0555;2;null;14;53;751145307;19;null;RUE;ODESSA;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
3541;49106;650434.7154;6860474.4827;650437.617441824;6860458.7480836;2;null;14;53;751145307;11;null;RUE;ODESSA;R;CA102;Traiteur asiatique;1;0;null;1;PCA;0;null
3540;49103;650434.7154;6860474.4827;650435.440910456;6860470.5490459;2;null;14;53;751145307;11;null;RUE;ODESSA;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
7597;97101;650421.0396;6860444.7834;650420.314776778;6860448.71718079;2;null;14;53;751145306;16;null;RUE;ODESSA;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;1;PCA;0;null
3539;49102;650434.7154;6860474.4827;650434.7154;6860474.4827;2;null;14;53;751145307;11;null;RUE;ODESSA;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;1;PCA;0;null
3538;49077;650532.1809;6860507.0053;650536.066702198;6860513.9981922;2;null;14;53;751145307;44;null;RUE;MONTPARNASSE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
3583;49546;650410.7006;6860513.0492;650409.973030595;6860516.9824738;2;null;14;53;751145306;6;null;RUE;ODESSA;R;CA102;Traiteur asiatique;1;0;null;1;PCA;0;null
3544;49120;650270.4468;6860384.9975;650270.4468;6860384.9975;2;null;14;53;751145306;27;null;RUE;DEPART;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
3543;49118;650447.1347;6860386.468;650447.1347;6860386.468;2;null;14;53;751145307;23;null;RUE;ODESSA;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;1;PCA;0;null
3550;49180;650247.5991;6860216.6304;650247.5991;6860216.6304;2;null;14;53;751145306;53;null;AV;MAINE;R;CA202;Supermarché classique;3;0;null;1;PCA;0;null
3548;49169;650379.4937;6860234.9955;650381.402948439;6860238.51043533;2;null;14;53;751145306;12;null;RUE;GAITE;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
3549;49174;650235.6001;6860262.3697;650235.6001;6860262.3697;2;null;14;53;751145306;47;null;AV;MAINE;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
3551;49188;650352.2958;6860264.9609;650352.2958;6860264.9609;2;null;14;53;751145306;3;null;RUE;MAINE;R;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
3547;49158;650422.9637;6860313.0901;650422.9637;6860313.0901;2;null;14;53;751145306;2;null;RUE;GAITE;A;CA113;Glacier : vente à emporter et consommation sur place;1;0;null;1;PCA;0;null
3533;48972;650505.7349;6860350.424;650505.7349;6860350.424;2;null;14;53;751145308;41;null;RUE;DELAMBRE;R;CA102;Traiteur asiatique;1;0;null;1;PCA;0;null
3545;49122;650252.544;6860363.2704;650252.544;6860363.2704;2;null;14;53;751145306;31;null;RUE;DEPART;R;CA201;Monoprix;3;0;null;1;PCA;0;null
3546;49123;650322.2956;6860375.9454;650322.2956;6860375.9454;2;null;14;53;751145306;27;null;BD;EDGAR QUINET;R;CA105;Chocolaterie - Confiserie;1;0;null;1;PCA;0;null
3629;50080;650671.8814;6858945.5072;650668.222407065;6858947.12329737;2;null;14;55;751145511;2;null;VLA;ORLEANS;R;CA108;Vente de fruits et légumes;1;0;null;0;null;0;null
3620;50062;650728.1004;6858955.1686;650720.124085263;6858954.55345513;2;null;14;55;751145511;41;null;RUE;BEZOUT;R;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
3617;50022;650744.6761;6858970.2168;650744.6761;6858970.2168;2;null;14;55;751145511;36;null;RUE;BEZOUT;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
3621;50064;650711.0643;6858954.0048;650707.075928832;6858953.70001249;2;null;14;55;751145511;43;null;RUE;BEZOUT;A;CA302;Supérette  classique;1;0;null;0;null;0;null
3640;50186;650743.1061;6858839.1355;650743.1061;6858839.1355;2;null;14;55;751145509;71;null;RUE;ALESIA;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
3615;50000;650844.7418;6858860.4019;650844.7418;6858860.4019;2;null;14;55;751145510;30;null;RUE;ALESIA;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
3630;50081;650695.1624;6858935.0041;650695.1624;6858935.0041;2;null;14;55;751145511;4;null;VLA;ORLEANS;R;CA108;Vente de fruits et légumes;1;0;null;0;null;0;null
3619;50052;650708.5459;6858861.5958;650708.5459;6858861.5958;2;null;14;55;751145511;46;null;RUE;ALESIA;R;CA111;Commerce détail de boissons;1;0;null;1;PCA;0;null
3616;50005;650827.2463;6858878.3781;650827.2463;6858878.3781;2;null;14;55;751145511;24;null;RUE;MONTBRUN;R;CA111;Commerce détail de boissons;1;0;null;0;null;0;null
3624;50067;650657.9061;6858944.8166;650653.964280749;6858937.85513026;2;null;14;55;751145511;67;null;AV;GENERAL LECLERC;R;CA102;Traiteur asiatique;1;0;null;4;PCA - PPA - PRCA;0;null
